company_name,company_rating,about_company,website,naukari_url,job_title,experience,location,salary,skills,job_description,posted_date,job_url
Jeavio,4.1,N/A,N/A,/jeavio-overview-3556344?tab=jobs,Senior QA Engineer (Functional + Automation),6-10 Yrs,Vadodara,Not disclosed,"Automation Testing,Functional Testing,Performance Testing,CI/CD tools,AI application testing,Ui Automation Testing,Database Testing,UI Automation","Bachelor's or Master's in Computer Science; 6+ years of manual and automated QA experience; expertise in Selenium, Java/Python|Plan, design, and execute QA processes; guide junior team members; define QA best practices|",2025-01-20,https://www.naukri.com/job-listings-senior-qa-engineer-functional-automation-jeavio-vadodara-6-to-10-years-200125005292
Jeavio,4.1,N/A,N/A,/jeavio-overview-3556344?tab=jobs,Senior Software Engineer - Frontend,6-11 Yrs,Remote,Not disclosed,"Javascript,Javascript Frameworks,Vue.Js,Typescript,React.Js,Nextjs,Senior,Framework","Bachelor's or Master's in Computer Science with 6+ years of frontend development experience, strong expertise in React.js, Vue.js, and modern UI frameworks|Design and enhance web applications, mentor junior developers, ensure high-quality code, and drive frontend best practices|Opportunity to work with modern cloud technologies and AI-powered applications",2025-01-31,https://www.naukri.com/job-listings-senior-software-engineer-frontend-jeavio-vadodara-6-to-11-years-310125015096
