company_id,name,rating,about_company,website,naukari_url
16486,Apollo Hospitals,4.1,N/A,N/A,https://www.naukri.com/apollo-hospitals-overview-16486?tab=jobs
966760,Sarvatra Technologies,4.2,N/A,N/A,https://www.naukri.com/sarvatra-technologies-overview-966760?tab=jobs
4825135,Triveni Almirah,4.0,N/A,N/A,https://www.naukri.com/triveni-almirah-overview-4825135?tab=jobs
2457666,Align Technology,2.9,N/A,N/A,https://www.naukri.com/align-technology-overview-2457666?tab=jobs
5586994,Trika Technologies,N/A,N/A,N/A,https://www.naukri.com/trika-technologies-overview-5586994?tab=jobs
4579381,Almamate Infotech,N/A,N/A,N/A,https://www.naukri.com/almamate-infotech-overview-4579381?tab=jobs
90224,Impetus Technologies,3.5,N/A,N/A,https://www.naukri.com/impetus-technologies-overview-90224?tab=jobs
4612151,Minimac Systems,N/A,N/A,N/A,https://www.naukri.com/minimac-systems-overview-4612151?tab=jobs
3080286,Shri Lakshmi Steel Suppliers,3.9,N/A,N/A,https://www.naukri.com/shri-lakshmi-steel-suppliers-overview-3080286?tab=jobs
2457684,Hansen Technologies,3.7,N/A,N/A,https://www.naukri.com/hansen-technologies-overview-2457684?tab=jobs
696440,Farbe Firma,4.0,N/A,N/A,https://www.naukri.com/farbe-firma-overview-696440?tab=jobs
4579377,Allzone Management Solutions,4.3,N/A,N/A,https://www.naukri.com/allzone-management-solutions-overview-4579377?tab=jobs
1302628,DB Schenker,4.3,N/A,N/A,https://www.naukri.com/db-schenker-overview-1302628?tab=jobs
213114,Haworth,N/A,N/A,N/A,https://www.naukri.com/haworth-overview-213114?tab=jobs
2539608,ValGenesis,3.3,N/A,N/A,https://www.naukri.com/valgenesis-overview-2539608?tab=jobs
2891858,Celebrity Fashions,4.0,N/A,N/A,https://www.naukri.com/celebrity-fashions-overview-2891858?tab=jobs
4620345,ProEves,N/A,N/A,N/A,https://www.naukri.com/proeves-overview-4620345?tab=jobs
3285170,Toast,N/A,N/A,N/A,https://www.naukri.com/toast-overview-3285170?tab=jobs
1253522,Purpletalk,3.9,N/A,N/A,https://www.naukri.com/purpletalk-overview-1253522?tab=jobs
4579521,Alstom Transportation,3.7,N/A,N/A,https://www.naukri.com/alstom-transportation-overview-4579521?tab=jobs
4612291,Momagic Technologies,3.8,N/A,N/A,https://www.naukri.com/momagic-technologies-overview-4612291?tab=jobs
761998,Inspire Academy,N/A,N/A,N/A,https://www.naukri.com/inspire-academy-overview-761998?tab=jobs
7790833,The Ksquare Group,N/A,N/A,N/A,https://www.naukri.com/the-ksquare-group-overview-7790833?tab=jobs
163978,Epsilon,4.0,N/A,N/A,https://www.naukri.com/epsilon-overview-163978?tab=jobs
139402,Cognex,N/A,N/A,N/A,https://www.naukri.com/cognex-overview-139402?tab=jobs
4620491,Propel Industries,3.9,N/A,N/A,https://www.naukri.com/propel-industries-overview-4620491?tab=jobs
4628681,Sheth Developers,N/A,N/A,N/A,https://www.naukri.com/sheth-developers-overview-4628681?tab=jobs
4612311,Mobicule Technologies,3.0,N/A,N/A,https://www.naukri.com/mobicule-technologies-overview-4612311?tab=jobs
2539698,Spectramedix,3.8,N/A,N/A,https://www.naukri.com/spectramedix-overview-2539698?tab=jobs
475294,FuGenX,N/A,N/A,N/A,https://www.naukri.com/fugenx-overview-475294?tab=jobs
2605244,RSPL Group,4.1,N/A,N/A,https://www.naukri.com/rspl-group-overview-2605244?tab=jobs
622740,Gurukul,3.8,N/A,N/A,https://www.naukri.com/gurukul-overview-622740?tab=jobs
4628697,Shiksha Financial Services India,3.7,N/A,N/A,https://www.naukri.com/shiksha-financial-services-india-overview-4628697?tab=jobs
8921111,Kezan Consulting,3.9,N/A,N/A,https://www.naukri.com/kezan-consulting-overview-8921111?tab=jobs
589992,Cushman & Wakefield,4.2,N/A,N/A,https://www.naukri.com/cushman-wakefield-overview-589992?tab=jobs
4620519,Prorigo Software,3.9,N/A,N/A,https://www.naukri.com/prorigo-software-overview-4620519?tab=jobs
4587751,Clavax Technologies,3.6,N/A,N/A,https://www.naukri.com/clavax-technologies-overview-4587751?tab=jobs
24738,MRF,3.7,N/A,N/A,https://www.naukri.com/mrf-overview-24738?tab=jobs
524458,Cogniscient Business Solutions,3.3,N/A,N/A,https://www.naukri.com/cogniscient-business-solutions-overview-524458?tab=jobs
139424,Supreme Universal,N/A,N/A,N/A,https://www.naukri.com/supreme-universal-overview-139424?tab=jobs
4604133,Iron Systems,3.1,N/A,N/A,https://www.naukri.com/iron-systems-overview-4604133?tab=jobs
4579565,Altruista Health,3.2,N/A,N/A,https://www.naukri.com/altruista-health-overview-4579565?tab=jobs
2048182,Tecnia Institute Of Advanced Studies,N/A,N/A,N/A,https://www.naukri.com/tecnia-institute-of-advanced-studies-overview-2048182?tab=jobs
4595951,Fluentgrid,3.9,N/A,N/A,https://www.naukri.com/fluentgrid-overview-4595951?tab=jobs
4587759,Clayfin Technologies,3.3,N/A,N/A,https://www.naukri.com/clayfin-technologies-overview-4587759?tab=jobs
1605810,Forbes Facility Services,4.3,N/A,N/A,https://www.naukri.com/forbes-facility-services-overview-1605810?tab=jobs
4579567,Altum Credo Home Finance,3.8,N/A,N/A,https://www.naukri.com/altum-credo-home-finance-overview-4579567?tab=jobs
4612333,Mobileware Technologies,N/A,N/A,N/A,https://www.naukri.com/mobileware-technologies-overview-4612333?tab=jobs
4620523,Prosares Solutions,3.1,N/A,N/A,https://www.naukri.com/prosares-solutions-overview-4620523?tab=jobs
262314,KRBL Limited,4.0,N/A,N/A,https://www.naukri.com/krbl-limited-overview-262314?tab=jobs
1040544,Getmyuni,3.4,N/A,N/A,https://www.naukri.com/getmyuni-overview-1040544?tab=jobs
245938,Sagitec,3.8,N/A,N/A,https://www.naukri.com/sagitec-overview-245938?tab=jobs
4849913,inContact,N/A,N/A,N/A,https://www.naukri.com/incontact-overview-4849913?tab=jobs
2089132,Park Clinic,N/A,N/A,N/A,https://www.naukri.com/park-clinic-overview-2089132?tab=jobs
4612341,Mobilution It Systems,N/A,N/A,N/A,https://www.naukri.com/mobilution-it-systems-overview-4612341?tab=jobs
4620533,Prospance Infotech,2.3,N/A,N/A,https://www.naukri.com/prospance-infotech-overview-4620533?tab=jobs
4727035,Bellfast Management,4.2,N/A,N/A,https://www.naukri.com/bellfast-management-overview-4727035?tab=jobs
